,Unnamed: 0,regiao,estado,coduf,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
3792,3792,Centro-Oeste,MS,50,2020-02-25,9,2778986.0,0.0,0,0,0
3793,3793,Centro-Oeste,MS,50,2020-02-26,9,2778986.0,0.0,0,0,0
3794,3794,Centro-Oeste,MS,50,2020-02-27,9,2778986.0,0.0,0,0,0
3795,3795,Centro-Oeste,MS,50,2020-02-28,9,2778986.0,0.0,0,0,0
3796,3796,Centro-Oeste,MS,50,2020-02-29,9,2778986.0,0.0,0,0,0
3797,3797,Centro-Oeste,MS,50,2020-03-01,10,2778986.0,0.0,0,0,0
3798,3798,Centro-Oeste,MS,50,2020-03-02,10,2778986.0,0.0,0,0,0
3799,3799,Centro-Oeste,MS,50,2020-03-03,10,2778986.0,0.0,0,0,0
3800,3800,Centro-Oeste,MS,50,2020-03-04,10,2778986.0,0.0,0,0,0
3801,3801,Centro-Oeste,MS,50,2020-03-05,10,2778986.0,0.0,0,0,0
3802,3802,Centro-Oeste,MS,50,2020-03-06,10,2778986.0,0.0,0,0,0
3803,3803,Centro-Oeste,MS,50,2020-03-07,10,2778986.0,0.0,0,0,0
3804,3804,Centro-Oeste,MS,50,2020-03-08,11,2778986.0,0.0,0,0,0
3805,3805,Centro-Oeste,MS,50,2020-03-09,11,2778986.0,0.0,0,0,0
3806,3806,Centro-Oeste,MS,50,2020-03-10,11,2778986.0,0.0,0,0,0
3807,3807,Centro-Oeste,MS,50,2020-03-11,11,2778986.0,0.0,0,0,0
3808,3808,Centro-Oeste,MS,50,2020-03-12,11,2778986.0,0.0,0,0,0
3809,3809,Centro-Oeste,MS,50,2020-03-13,11,2778986.0,0.0,0,0,0
3810,3810,Centro-Oeste,MS,50,2020-03-14,11,2778986.0,0.0,0,0,0
3811,3811,Centro-Oeste,MS,50,2020-03-15,12,2778986.0,0.0,0,0,0
3812,3812,Centro-Oeste,MS,50,2020-03-16,12,2778986.0,2.0,2,0,0
3813,3813,Centro-Oeste,MS,50,2020-03-17,12,2778986.0,4.0,2,0,0
3814,3814,Centro-Oeste,MS,50,2020-03-18,12,2778986.0,7.0,3,0,0
3815,3815,Centro-Oeste,MS,50,2020-03-19,12,2778986.0,7.0,0,0,0
3816,3816,Centro-Oeste,MS,50,2020-03-20,12,2778986.0,9.0,2,0,0
3817,3817,Centro-Oeste,MS,50,2020-03-21,12,2778986.0,16.0,7,0,0
3818,3818,Centro-Oeste,MS,50,2020-03-22,13,2778986.0,21.0,5,0,0
3819,3819,Centro-Oeste,MS,50,2020-03-23,13,2778986.0,21.0,0,0,0
3820,3820,Centro-Oeste,MS,50,2020-03-24,13,2778986.0,23.0,2,0,0
3821,3821,Centro-Oeste,MS,50,2020-03-25,13,2778986.0,24.0,1,0,0
3822,3822,Centro-Oeste,MS,50,2020-03-26,13,2778986.0,25.0,1,0,0
3823,3823,Centro-Oeste,MS,50,2020-03-27,13,2778986.0,28.0,3,0,0
3824,3824,Centro-Oeste,MS,50,2020-03-28,13,2778986.0,31.0,3,0,0
3825,3825,Centro-Oeste,MS,50,2020-03-29,14,2778986.0,36.0,5,0,0
3826,3826,Centro-Oeste,MS,50,2020-03-30,14,2778986.0,44.0,8,0,0
3827,3827,Centro-Oeste,MS,50,2020-03-31,14,2778986.0,48.0,4,1,1
3828,3828,Centro-Oeste,MS,50,2020-04-01,14,2778986.0,51.0,3,1,0
3829,3829,Centro-Oeste,MS,50,2020-04-02,14,2778986.0,53.0,2,1,0
3830,3830,Centro-Oeste,MS,50,2020-04-03,14,2778986.0,60.0,7,1,0
3831,3831,Centro-Oeste,MS,50,2020-04-04,14,2778986.0,62.0,2,1,0
3832,3832,Centro-Oeste,MS,50,2020-04-05,15,2778986.0,65.0,3,1,0
3833,3833,Centro-Oeste,MS,50,2020-04-06,15,2778986.0,66.0,1,1,0
3834,3834,Centro-Oeste,MS,50,2020-04-07,15,2778986.0,80.0,14,2,1
3835,3835,Centro-Oeste,MS,50,2020-04-08,15,2778986.0,85.0,5,2,0
3836,3836,Centro-Oeste,MS,50,2020-04-09,15,2778986.0,89.0,4,2,0
3837,3837,Centro-Oeste,MS,50,2020-04-10,15,2778986.0,97.0,8,2,0
3838,3838,Centro-Oeste,MS,50,2020-04-11,15,2778986.0,100.0,3,2,0
3839,3839,Centro-Oeste,MS,50,2020-04-12,16,2778986.0,101.0,1,2,0
3840,3840,Centro-Oeste,MS,50,2020-04-13,16,2778986.0,113.0,12,4,2
3841,3841,Centro-Oeste,MS,50,2020-04-14,16,2778986.0,115.0,2,4,0
3842,3842,Centro-Oeste,MS,50,2020-04-15,16,2778986.0,121.0,6,4,0
3843,3843,Centro-Oeste,MS,50,2020-04-16,16,2778986.0,131.0,10,5,1
3844,3844,Centro-Oeste,MS,50,2020-04-17,16,2778986.0,143.0,12,5,0
3845,3845,Centro-Oeste,MS,50,2020-04-18,16,2778986.0,161.0,18,5,0
3846,3846,Centro-Oeste,MS,50,2020-04-19,17,2778986.0,168.0,7,5,0
3847,3847,Centro-Oeste,MS,50,2020-04-20,17,2778986.0,171.0,3,5,0
3848,3848,Centro-Oeste,MS,50,2020-04-21,17,2778986.0,173.0,2,6,1
3849,3849,Centro-Oeste,MS,50,2020-04-22,17,2778986.0,175.0,2,6,0
3850,3850,Centro-Oeste,MS,50,2020-04-23,17,2778986.0,186.0,11,7,1
3851,3851,Centro-Oeste,MS,50,2020-04-24,17,2778986.0,213.0,27,7,0
3852,3852,Centro-Oeste,MS,50,2020-04-25,17,2778986.0,217.0,4,7,0
3853,3853,Centro-Oeste,MS,50,2020-04-26,18,2778986.0,234.0,17,7,0
3854,3854,Centro-Oeste,MS,50,2020-04-27,18,2778986.0,238.0,4,9,2
3855,3855,Centro-Oeste,MS,50,2020-04-28,18,2778986.0,240.0,2,9,0
3856,3856,Centro-Oeste,MS,50,2020-04-29,18,2778986.0,249.0,9,9,0
3857,3857,Centro-Oeste,MS,50,2020-04-30,18,2778986.0,255.0,6,9,0
3858,3858,Centro-Oeste,MS,50,2020-05-01,18,2778986.0,261.0,6,9,0
3859,3859,Centro-Oeste,MS,50,2020-05-02,18,2778986.0,266.0,5,9,0
3860,3860,Centro-Oeste,MS,50,2020-05-03,19,2778986.0,272.0,6,10,1
3861,3861,Centro-Oeste,MS,50,2020-05-04,19,2778986.0,274.0,2,10,0
3862,3862,Centro-Oeste,MS,50,2020-05-05,19,2778986.0,283.0,9,10,0
3863,3863,Centro-Oeste,MS,50,2020-05-06,19,2778986.0,288.0,5,10,0
3864,3864,Centro-Oeste,MS,50,2020-05-07,19,2778986.0,311.0,23,10,0
3865,3865,Centro-Oeste,MS,50,2020-05-08,19,2778986.0,326.0,15,11,1
3866,3866,Centro-Oeste,MS,50,2020-05-09,19,2778986.0,346.0,20,11,0
3867,3867,Centro-Oeste,MS,50,2020-05-10,20,2778986.0,362.0,16,11,0
3868,3868,Centro-Oeste,MS,50,2020-05-11,20,2778986.0,385.0,23,11,0
3869,3869,Centro-Oeste,MS,50,2020-05-12,20,2778986.0,405.0,20,12,1
3870,3870,Centro-Oeste,MS,50,2020-05-13,20,2778986.0,430.0,25,13,1
3871,3871,Centro-Oeste,MS,50,2020-05-14,20,2778986.0,452.0,22,14,1
3872,3872,Centro-Oeste,MS,50,2020-05-15,20,2778986.0,479.0,27,14,0
3873,3873,Centro-Oeste,MS,50,2020-05-16,20,2778986.0,508.0,29,15,1
3874,3874,Centro-Oeste,MS,50,2020-05-17,21,2778986.0,570.0,62,15,0
3875,3875,Centro-Oeste,MS,50,2020-05-18,21,2778986.0,613.0,43,16,1
3876,3876,Centro-Oeste,MS,50,2020-05-19,21,2778986.0,642.0,29,16,0
3877,3877,Centro-Oeste,MS,50,2020-05-20,21,2778986.0,693.0,51,17,1
3878,3878,Centro-Oeste,MS,50,2020-05-21,21,2778986.0,746.0,53,17,0
3879,3879,Centro-Oeste,MS,50,2020-05-22,21,2778986.0,805.0,59,17,0
3880,3880,Centro-Oeste,MS,50,2020-05-23,21,2778986.0,858.0,53,17,0
3881,3881,Centro-Oeste,MS,50,2020-05-24,22,2778986.0,924.0,66,17,0
3882,3882,Centro-Oeste,MS,50,2020-05-25,22,2778986.0,1023.0,99,17,0
3883,3883,Centro-Oeste,MS,50,2020-05-26,22,2778986.0,1100.0,77,17,0
3884,3884,Centro-Oeste,MS,50,2020-05-27,22,2778986.0,1186.0,86,18,1
3885,3885,Centro-Oeste,MS,50,2020-05-28,22,2778986.0,1262.0,76,18,0
3886,3886,Centro-Oeste,MS,50,2020-05-29,22,2778986.0,1356.0,94,18,0
3887,3887,Centro-Oeste,MS,50,2020-05-30,22,2778986.0,1418.0,62,19,1
3888,3888,Centro-Oeste,MS,50,2020-05-31,23,2778986.0,1489.0,71,20,1
3889,3889,Centro-Oeste,MS,50,2020-06-01,23,2778986.0,1568.0,79,20,0
3890,3890,Centro-Oeste,MS,50,2020-06-02,23,2778986.0,1646.0,78,20,0
3891,3891,Centro-Oeste,MS,50,2020-06-03,23,2778986.0,1802.0,156,20,0
3892,3892,Centro-Oeste,MS,50,2020-06-04,23,2778986.0,1925.0,123,20,0
3893,3893,Centro-Oeste,MS,50,2020-06-05,23,2778986.0,1997.0,72,21,1
3894,3894,Centro-Oeste,MS,50,2020-06-06,23,2778986.0,2132.0,135,21,0
