,Unnamed: 0,regiao,estado,coduf,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
2686,2686,Sudeste,MG,31,2020-02-25,9,21168791.0,0.0,0,0,0
2687,2687,Sudeste,MG,31,2020-02-26,9,21168791.0,0.0,0,0,0
2688,2688,Sudeste,MG,31,2020-02-27,9,21168791.0,0.0,0,0,0
2689,2689,Sudeste,MG,31,2020-02-28,9,21168791.0,0.0,0,0,0
2690,2690,Sudeste,MG,31,2020-02-29,9,21168791.0,0.0,0,0,0
2691,2691,Sudeste,MG,31,2020-03-01,10,21168791.0,0.0,0,0,0
2692,2692,Sudeste,MG,31,2020-03-02,10,21168791.0,0.0,0,0,0
2693,2693,Sudeste,MG,31,2020-03-03,10,21168791.0,0.0,0,0,0
2694,2694,Sudeste,MG,31,2020-03-04,10,21168791.0,0.0,0,0,0
2695,2695,Sudeste,MG,31,2020-03-05,10,21168791.0,0.0,0,0,0
2696,2696,Sudeste,MG,31,2020-03-06,10,21168791.0,0.0,0,0,0
2697,2697,Sudeste,MG,31,2020-03-07,10,21168791.0,0.0,0,0,0
2698,2698,Sudeste,MG,31,2020-03-08,11,21168791.0,1.0,1,0,0
2699,2699,Sudeste,MG,31,2020-03-09,11,21168791.0,1.0,0,0,0
2700,2700,Sudeste,MG,31,2020-03-10,11,21168791.0,1.0,0,0,0
2701,2701,Sudeste,MG,31,2020-03-11,11,21168791.0,1.0,0,0,0
2702,2702,Sudeste,MG,31,2020-03-12,11,21168791.0,1.0,0,0,0
2703,2703,Sudeste,MG,31,2020-03-13,11,21168791.0,2.0,1,0,0
2704,2704,Sudeste,MG,31,2020-03-14,11,21168791.0,2.0,0,0,0
2705,2705,Sudeste,MG,31,2020-03-15,12,21168791.0,2.0,0,0,0
2706,2706,Sudeste,MG,31,2020-03-16,12,21168791.0,5.0,3,0,0
2707,2707,Sudeste,MG,31,2020-03-17,12,21168791.0,7.0,2,0,0
2708,2708,Sudeste,MG,31,2020-03-18,12,21168791.0,15.0,8,0,0
2709,2709,Sudeste,MG,31,2020-03-19,12,21168791.0,29.0,14,0,0
2710,2710,Sudeste,MG,31,2020-03-20,12,21168791.0,35.0,6,0,0
2711,2711,Sudeste,MG,31,2020-03-21,12,21168791.0,38.0,3,0,0
2712,2712,Sudeste,MG,31,2020-03-22,13,21168791.0,83.0,45,0,0
2713,2713,Sudeste,MG,31,2020-03-23,13,21168791.0,128.0,45,0,0
2714,2714,Sudeste,MG,31,2020-03-24,13,21168791.0,130.0,2,0,0
2715,2715,Sudeste,MG,31,2020-03-25,13,21168791.0,133.0,3,0,0
2716,2716,Sudeste,MG,31,2020-03-26,13,21168791.0,153.0,20,0,0
2717,2717,Sudeste,MG,31,2020-03-27,13,21168791.0,189.0,36,0,0
2718,2718,Sudeste,MG,31,2020-03-28,13,21168791.0,205.0,16,0,0
2719,2719,Sudeste,MG,31,2020-03-29,14,21168791.0,231.0,26,0,0
2720,2720,Sudeste,MG,31,2020-03-30,14,21168791.0,261.0,30,1,1
2721,2721,Sudeste,MG,31,2020-03-31,14,21168791.0,275.0,14,2,1
2722,2722,Sudeste,MG,31,2020-04-01,14,21168791.0,314.0,39,3,1
2723,2723,Sudeste,MG,31,2020-04-02,14,21168791.0,370.0,56,4,1
2724,2724,Sudeste,MG,31,2020-04-03,14,21168791.0,397.0,27,6,2
2725,2725,Sudeste,MG,31,2020-04-04,14,21168791.0,430.0,33,6,0
2726,2726,Sudeste,MG,31,2020-04-05,15,21168791.0,498.0,68,6,0
2727,2727,Sudeste,MG,31,2020-04-06,15,21168791.0,525.0,27,9,3
2728,2728,Sudeste,MG,31,2020-04-07,15,21168791.0,559.0,34,11,2
2729,2729,Sudeste,MG,31,2020-04-08,15,21168791.0,614.0,55,14,3
2730,2730,Sudeste,MG,31,2020-04-09,15,21168791.0,655.0,41,15,1
2731,2731,Sudeste,MG,31,2020-04-10,15,21168791.0,698.0,43,17,2
2732,2732,Sudeste,MG,31,2020-04-11,15,21168791.0,750.0,52,17,0
2733,2733,Sudeste,MG,31,2020-04-12,16,21168791.0,806.0,56,20,3
2734,2734,Sudeste,MG,31,2020-04-13,16,21168791.0,815.0,9,23,3
2735,2735,Sudeste,MG,31,2020-04-14,16,21168791.0,884.0,69,27,4
2736,2736,Sudeste,MG,31,2020-04-15,16,21168791.0,903.0,19,30,3
2737,2737,Sudeste,MG,31,2020-04-16,16,21168791.0,958.0,55,33,3
2738,2738,Sudeste,MG,31,2020-04-17,16,21168791.0,1021.0,63,35,2
2739,2739,Sudeste,MG,31,2020-04-18,16,21168791.0,1077.0,56,39,4
2740,2740,Sudeste,MG,31,2020-04-19,17,21168791.0,1154.0,77,39,0
2741,2741,Sudeste,MG,31,2020-04-20,17,21168791.0,1189.0,35,41,2
2742,2742,Sudeste,MG,31,2020-04-21,17,21168791.0,1230.0,41,44,3
2743,2743,Sudeste,MG,31,2020-04-22,17,21168791.0,1283.0,53,47,3
2744,2744,Sudeste,MG,31,2020-04-23,17,21168791.0,1308.0,25,51,4
2745,2745,Sudeste,MG,31,2020-04-24,17,21168791.0,1419.0,111,54,3
2746,2746,Sudeste,MG,31,2020-04-25,17,21168791.0,1481.0,62,58,4
2747,2747,Sudeste,MG,31,2020-04-26,18,21168791.0,1548.0,67,61,3
2748,2748,Sudeste,MG,31,2020-04-27,18,21168791.0,1586.0,38,62,1
2749,2749,Sudeste,MG,31,2020-04-28,18,21168791.0,1649.0,63,71,9
2750,2750,Sudeste,MG,31,2020-04-29,18,21168791.0,1758.0,109,80,9
2751,2751,Sudeste,MG,31,2020-04-30,18,21168791.0,1827.0,69,82,2
2752,2752,Sudeste,MG,31,2020-05-01,18,21168791.0,1935.0,108,88,6
2753,2753,Sudeste,MG,31,2020-05-02,18,21168791.0,2023.0,88,88,0
2754,2754,Sudeste,MG,31,2020-05-03,19,21168791.0,2118.0,95,89,1
