,Unnamed: 0,regiao,estado,coduf,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
3318,3318,Sul,PR,41,2020-02-25,9,11433957.0,0.0,0,0,0
3319,3319,Sul,PR,41,2020-02-26,9,11433957.0,0.0,0,0,0
3320,3320,Sul,PR,41,2020-02-27,9,11433957.0,0.0,0,0,0
3321,3321,Sul,PR,41,2020-02-28,9,11433957.0,0.0,0,0,0
3322,3322,Sul,PR,41,2020-02-29,9,11433957.0,0.0,0,0,0
3323,3323,Sul,PR,41,2020-03-01,10,11433957.0,0.0,0,0,0
3324,3324,Sul,PR,41,2020-03-02,10,11433957.0,0.0,0,0,0
3325,3325,Sul,PR,41,2020-03-03,10,11433957.0,0.0,0,0,0
3326,3326,Sul,PR,41,2020-03-04,10,11433957.0,0.0,0,0,0
3327,3327,Sul,PR,41,2020-03-05,10,11433957.0,0.0,0,0,0
3328,3328,Sul,PR,41,2020-03-06,10,11433957.0,0.0,0,0,0
3329,3329,Sul,PR,41,2020-03-07,10,11433957.0,0.0,0,0,0
3330,3330,Sul,PR,41,2020-03-08,11,11433957.0,0.0,0,0,0
3331,3331,Sul,PR,41,2020-03-09,11,11433957.0,0.0,0,0,0
3332,3332,Sul,PR,41,2020-03-10,11,11433957.0,0.0,0,0,0
3333,3333,Sul,PR,41,2020-03-11,11,11433957.0,0.0,0,0,0
3334,3334,Sul,PR,41,2020-03-12,11,11433957.0,6.0,6,0,0
3335,3335,Sul,PR,41,2020-03-13,11,11433957.0,6.0,0,0,0
3336,3336,Sul,PR,41,2020-03-14,11,11433957.0,6.0,0,0,0
3337,3337,Sul,PR,41,2020-03-15,12,11433957.0,6.0,0,0,0
3338,3338,Sul,PR,41,2020-03-16,12,11433957.0,6.0,0,0,0
3339,3339,Sul,PR,41,2020-03-17,12,11433957.0,6.0,0,0,0
3340,3340,Sul,PR,41,2020-03-18,12,11433957.0,13.0,7,0,0
3341,3341,Sul,PR,41,2020-03-19,12,11433957.0,23.0,10,0,0
3342,3342,Sul,PR,41,2020-03-20,12,11433957.0,32.0,9,0,0
3343,3343,Sul,PR,41,2020-03-21,12,11433957.0,43.0,11,0,0
3344,3344,Sul,PR,41,2020-03-22,13,11433957.0,50.0,7,0,0
3345,3345,Sul,PR,41,2020-03-23,13,11433957.0,56.0,6,0,0
3346,3346,Sul,PR,41,2020-03-24,13,11433957.0,65.0,9,0,0
3347,3347,Sul,PR,41,2020-03-25,13,11433957.0,81.0,16,0,0
3348,3348,Sul,PR,41,2020-03-26,13,11433957.0,102.0,21,0,0
3349,3349,Sul,PR,41,2020-03-27,13,11433957.0,119.0,17,2,2
3350,3350,Sul,PR,41,2020-03-28,13,11433957.0,133.0,14,2,0
3351,3351,Sul,PR,41,2020-03-29,14,11433957.0,148.0,15,2,0
3352,3352,Sul,PR,41,2020-03-30,14,11433957.0,155.0,7,3,1
3353,3353,Sul,PR,41,2020-03-31,14,11433957.0,179.0,24,3,0
3354,3354,Sul,PR,41,2020-04-01,14,11433957.0,224.0,45,3,0
3355,3355,Sul,PR,41,2020-04-02,14,11433957.0,252.0,28,4,1
3356,3356,Sul,PR,41,2020-04-03,14,11433957.0,301.0,49,4,0
3357,3357,Sul,PR,41,2020-04-04,14,11433957.0,395.0,94,6,2
3358,3358,Sul,PR,41,2020-04-05,15,11433957.0,438.0,43,9,3
3359,3359,Sul,PR,41,2020-04-06,15,11433957.0,458.0,20,11,2
3360,3360,Sul,PR,41,2020-04-07,15,11433957.0,503.0,45,15,4
3361,3361,Sul,PR,41,2020-04-08,15,11433957.0,539.0,36,17,2
3362,3362,Sul,PR,41,2020-04-09,15,11433957.0,609.0,70,22,5
3363,3363,Sul,PR,41,2020-04-10,15,11433957.0,643.0,34,25,3
3364,3364,Sul,PR,41,2020-04-11,15,11433957.0,676.0,33,26,1
3365,3365,Sul,PR,41,2020-04-12,16,11433957.0,738.0,62,30,4
3366,3366,Sul,PR,41,2020-04-13,16,11433957.0,756.0,18,31,1
3367,3367,Sul,PR,41,2020-04-14,16,11433957.0,791.0,35,36,5
