data,Brasil,Centro-Oeste,Nordeste,Norte,Sudeste,Sul
2020-2,2,0,0,0,2,0
2020-3,5715,470,943,294,3462,680
2020-4,79663,2229,23675,10482,39004,4334
2020-5,428820,14743,155680,97019,145369,18088
2020-6,887841,79869,301891,154875,299013,53788
2020-7,1260444,153723,381418,145433,432735,152600
2020-8,1245787,183797,287974,129687,438057,212855
2020-9,902663,159947,178795,93804,322756,151428
2020-10,724670,99160,157041,71964,264320,135411
2020-11,800273,71815,154260,67768,262076,248475
2020-12,1340095,108004,267363,89637,486534,394458
2021-1,1528758,130748,282976,164213,639952,317808
2021-2,1346528,118948,297599,143770,503522,286744
2021-3,2197488,229364,450085,185157,794567,527122
2021-4,1910264,185564,452103,143091,818787,312463
2021-5,1886543,170948,516301,114420,749972,336897
2021-6,2011587,181389,504579,106418,816342,406384
2021-7,1360714,145274,245579,70165,592386,307745
2021-8,859015,136556,100318,38737,421160,162477
2021-9,650203,93127,60443,21362,357453,117207
2021-10,383782,74393,50037,19204,142469,98143
2021-11,98443,11237,23825,7178,30419,25993
