data,data,regiao,obitosNovos
2020,2,Brasil,0
2020,2,Centro-Oeste,0
2020,2,Nordeste,0
2020,2,Norte,0
2020,2,Sudeste,0
2020,2,Sul,0
2020,3,Brasil,201
2020,3,Centro-Oeste,5
2020,3,Nordeste,23
2020,3,Norte,4
2020,3,Sudeste,162
2020,3,Sul,9
2020,4,Brasil,5700
2020,4,Centro-Oeste,76
2020,4,Nordeste,1518
2020,4,Norte,708
2020,4,Sudeste,3232
2020,4,Sul,171
2020,5,Brasil,23413
2020,5,Centro-Oeste,297
2020,5,Nordeste,7344
2020,5,Norte,4979
2020,5,Sudeste,10448
2020,5,Sul,369
2020,6,Brasil,30280
2020,6,Centro-Oeste,1363
2020,6,Nordeste,10436
2020,6,Norte,3836
2020,6,Sudeste,13640
2020,6,Sul,1068
2020,7,Brasil,32881
2020,7,Centro-Oeste,3579
2020,7,Nordeste,9380
2020,7,Norte,2323
2020,7,Sudeste,14349
2020,7,Sul,3303
2020,8,Brasil,28906
2020,8,Centro-Oeste,3908
2020,8,Nordeste,6527
2020,8,Norte,1626
2020,8,Sudeste,12810
2020,8,Sul,4104
2020,9,Brasil,22571
2020,9,Centro-Oeste,3408
2020,9,Nordeste,4026
2020,9,Norte,1570
2020,9,Sudeste,10457
2020,9,Sul,3085
2020,10,Brasil,15932
2020,10,Centro-Oeste,2190
2020,10,Nordeste,2985
2020,10,Norte,932
2020,10,Sudeste,7796
2020,10,Sul,2070
2020,11,Brasil,13236
2020,11,Centro-Oeste,1309
2020,11,Nordeste,2294
2020,11,Norte,818
2020,11,Sudeste,6235
2020,11,Sul,2605
2020,12,Brasil,21829
2020,12,Centro-Oeste,1713
2020,12,Nordeste,3287
2020,12,Norte,1235
2020,12,Sudeste,10257
2020,12,Sul,5377
2021,1,Brasil,29555
2021,1,Centro-Oeste,2153
2021,1,Nordeste,3801
2021,1,Norte,4138
2021,1,Sudeste,14582
2021,1,Sul,4955
2021,2,Brasil,30438
2021,2,Centro-Oeste,2386
2021,2,Nordeste,5002
2021,2,Norte,4908
2021,2,Sudeste,13849
2021,2,Sul,4391
2021,3,Brasil,66573
2021,3,Centro-Oeste,7059
2021,3,Nordeste,12511
2021,3,Norte,5457
2021,3,Sudeste,25724
2021,3,Sul,15948
2021,4,Brasil,82266
2021,4,Centro-Oeste,8683
2021,4,Nordeste,14094
2021,4,Norte,5377
2021,4,Sudeste,40693
2021,4,Sul,13570
2021,5,Brasil,59010
2021,5,Centro-Oeste,5137
2021,5,Nordeste,12257
2021,5,Norte,3220
2021,5,Sudeste,29485
2021,5,Sul,9013
2021,6,Brasil,55275
2021,6,Centro-Oeste,5193
2021,6,Nordeste,11095
2021,6,Norte,2339
2021,6,Sudeste,27681
2021,6,Sul,9104
2021,7,Brasil,38304
2021,7,Centro-Oeste,3412
2021,7,Nordeste,6023
2021,7,Norte,1561
2021,7,Sudeste,19773
2021,7,Sul,7592
2021,8,Brasil,24043
2021,8,Centro-Oeste,3219
2021,8,Nordeste,3064
2021,8,Norte,997
2021,8,Sudeste,12947
2021,8,Sul,3886
2021,9,Brasil,16336
2021,9,Centro-Oeste,1985
2021,9,Nordeste,1501
2021,9,Norte,508
2021,9,Sudeste,9539
2021,9,Sul,2829
2021,10,Brasil,11075
2021,10,Centro-Oeste,1327
2021,10,Nordeste,1199
2021,10,Norte,310
2021,10,Sudeste,5823
2021,10,Sul,2437
2021,11,Brasil,2212
2021,11,Centro-Oeste,219
2021,11,Nordeste,298
2021,11,Norte,74
2021,11,Sudeste,1132
2021,11,Sul,499
