,regiao,estado,coduf,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
0,Brasil,,76,2021-07-01,26,210147125.0,18622304,65163,520095,2029
1,Brasil,,76,2021-07-02,26,210147125.0,18687469,65165,521952,1857
2,Brasil,,76,2021-07-03,26,210147125.0,18742025,54556,523587,1635
3,Brasil,,76,2021-07-04,27,210147125.0,18769808,27783,524417,830
4,Brasil,,76,2021-07-05,27,210147125.0,18792511,22703,525112,695
5,Brasil,,76,2021-07-06,27,210147125.0,18855015,62504,526892,1780
6,Brasil,,76,2021-07-07,27,210147125.0,18909037,54022,528540,1648
7,Brasil,,76,2021-07-08,27,210147125.0,18962762,53725,530179,1639
8,Brasil,,76,2021-07-09,27,210147125.0,19020499,57737,531688,1509
9,Brasil,,76,2021-07-10,27,210147125.0,19069003,48504,532893,1205
10,Brasil,,76,2021-07-11,28,210147125.0,19089940,20937,533488,595
11,Brasil,,76,2021-07-12,28,210147125.0,19106971,17031,534233,745
12,Brasil,,76,2021-07-13,28,210147125.0,19151993,45022,535838,1605
13,Brasil,,76,2021-07-14,28,210147125.0,19209729,57736,537394,1556
14,Brasil,,76,2021-07-15,28,210147125.0,19262518,52789,538942,1548
15,Brasil,,76,2021-07-16,28,210147125.0,19308109,45591,540398,1456
16,Brasil,,76,2021-07-17,28,210147125.0,19342448,34339,541266,868
17,Brasil,,76,2021-07-18,29,210147125.0,19376574,34126,542214,948
18,Brasil,,76,2021-07-19,29,210147125.0,19391845,15271,542756,542
19,Brasil,,76,2021-07-20,29,210147125.0,19419437,27592,544180,1424
20,Brasil,,76,2021-07-21,29,210147125.0,19473954,54517,545604,1424
21,Brasil,,76,2021-07-22,29,210147125.0,19523711,49757,547016,1412
22,Brasil,,76,2021-07-23,29,210147125.0,19632443,108732,548340,1324
23,Brasil,,76,2021-07-24,29,210147125.0,19670534,38091,549448,1108
24,Brasil,,76,2021-07-25,30,210147125.0,19688663,18129,549924,476
25,Brasil,,76,2021-07-26,30,210147125.0,19707662,18999,550502,578
26,Brasil,,76,2021-07-27,30,210147125.0,19749073,41411,551835,1333
27,Brasil,,76,2021-07-28,30,210147125.0,19797086,48013,553179,1344
28,Brasil,,76,2021-07-29,30,210147125.0,19839369,42283,554497,1318
29,Brasil,,76,2021-07-30,30,210147125.0,19880273,40904,555460,963
30,Brasil,,76,2021-07-31,30,210147125.0,19917855,37582,556370,910
31,Brasil,,76,2021-08-01,31,210147125.0,19938358,20503,556834,464
32,Brasil,,76,2021-08-02,31,210147125.0,19953501,15143,557223,389
33,Brasil,,76,2021-08-03,31,210147125.0,19985817,32316,558432,1209
34,Brasil,,76,2021-08-04,31,210147125.0,20026533,40716,559607,1175
35,Brasil,,76,2021-08-05,31,210147125.0,20066587,40054,560706,1099
36,Brasil,,76,2021-08-06,31,210147125.0,20108746,42159,561762,1056
37,Brasil,,76,2021-08-07,31,210147125.0,20151779,43033,562752,990
38,Brasil,,76,2021-08-08,32,210147125.0,20165672,13893,563151,399
39,Brasil,,76,2021-08-09,32,210147125.0,20177757,12085,563562,411
40,Brasil,,76,2021-08-10,32,210147125.0,20212642,34885,564773,1211
41,Brasil,,76,2021-08-11,32,210147125.0,20245085,32443,565748,975
42,Brasil,,76,2021-08-12,32,210147125.0,20285067,39982,566896,1148
43,Brasil,,76,2021-08-13,32,210147125.0,20319000,33933,567862,966
44,Brasil,,76,2021-08-14,32,210147125.0,20350142,31142,568788,926
45,Brasil,,76,2021-08-15,33,210147125.0,20364099,13957,569058,270
46,Brasil,,76,2021-08-16,33,210147125.0,20378570,14471,569492,434
47,Brasil,,76,2021-08-17,33,210147125.0,20416183,37613,570598,1106
48,Brasil,,76,2021-08-18,33,210147125.0,20457897,41714,571662,1064
49,Brasil,,76,2021-08-19,33,210147125.0,20494212,36315,572641,979
