data,Brasil,Centro-Oeste,Nordeste,Norte,Sudeste,Sul
2020-2,0,0,0,0,0,0
2020-3,201,5,23,4,162,9
2020-4,5700,76,1518,708,3232,171
2020-5,23413,297,7344,4979,10448,369
2020-6,30280,1363,10436,3836,13640,1068
2020-7,32881,3579,9380,2323,14349,3303
2020-8,28906,3908,6527,1626,12810,4104
2020-9,22571,3408,4026,1570,10457,3085
2020-10,15932,2190,2985,932,7796,2070
2020-11,13236,1309,2294,818,6235,2605
2020-12,21829,1713,3287,1235,10257,5377
2021-1,29555,2153,3801,4138,14582,4955
2021-2,30438,2386,5002,4908,13849,4391
2021-3,66573,7059,12511,5457,25724,15948
2021-4,82266,8683,14094,5377,40693,13570
2021-5,59010,5137,12257,3220,29485,9013
2021-6,55275,5193,11095,2339,27681,9104
2021-7,38304,3412,6023,1561,19773,7592
2021-8,24043,3219,3064,997,12947,3886
2021-9,16336,1985,1501,508,9539,2829
2021-10,11075,1327,1199,310,5823,2437
2021-11,2212,219,298,74,1132,499
