Data,Pessoas de 14 anos ou mais de idade - Pessoa - Instituto Brasileiro de Geografia e Estatística
2012.03,155670
2012.04,155810
2012.05,155920
2012.06,156215
2012.07,156344
2012.08,156543
2012.09,156774
2012.10,156983
2012.11,157240
2012.12,157426
2013.01,157558
2013.02,157732
2013.03,158069
2013.04,158240
2013.05,158294
2013.06,158288
2013.07,158455
2013.08,158657
2013.09,158873
2013.10,159068
2013.11,159228
2013.12,159587
2014.01,159700
2014.02,159786
2014.03,159959
2014.04,160336
2014.05,160699
2014.06,160903
2014.07,161111
2014.08,161376
2014.09,161615
2014.10,161849
2014.11,162043
2014.12,162319
2015.01,162599
2015.02,162879
2015.03,162978
2015.04,163009
2015.05,163133
2015.06,163286
2015.07,163429
2015.08,163586
2015.09,163693
2015.10,163810
2015.11,163978
2015.12,164151
2016.01,164302
2016.02,164537
2016.03,164775
2016.04,165120
2016.05,165347
2016.06,165491
2016.07,165618
2016.08,165672
2016.09,165735
2016.10,165893
2016.11,166076
2016.12,166401
2017.01,166640
2017.02,166716
2017.03,166807
2017.04,166984
2017.05,167158
2017.06,167432
2017.07,167713
2017.08,167863
2017.09,168039
2017.10,168108
2017.11,168254
2017.12,168396
2018.01,168491
2018.02,168509
2018.03,168508
2018.04,168701
2018.05,168922
2018.06,169241
2018.07,169425
2018.08,169591
2018.09,169734
2018.10,169793
2018.11,169936
2018.12,170022
2019.01,170193
2019.02,170395
2019.03,170500
2019.04,170494
2019.05,170615
2019.06,170864
2019.07,170975
2019.08,171123
2019.09,171158
2019.10,171281
2019.11,171401
2019.12,171613
2020.01,171798
2020.02,171989
2020.03,172354
2020.04,172978
2020.05,173610
2020.06,173918
2020.07,174114
2020.08,174600
2020.09,175121
2020.10,175555
2020.11,176014
2020.12,176362
2021.01,176674
2021.02,176753
2021.03,176938
2021.04,177084
2021.05,177306
2021.06,177149
2021.07,177271
2021.08,177215
