,Unnamed: 0,regiao,estado,coduf,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
0,0,Brasil,,76,2020-02-25,9,210147125.0,0.0,0,0,0
1,1,Brasil,,76,2020-02-26,9,210147125.0,1.0,1,0,0
2,2,Brasil,,76,2020-02-27,9,210147125.0,1.0,0,0,0
3,3,Brasil,,76,2020-02-28,9,210147125.0,1.0,0,0,0
4,4,Brasil,,76,2020-02-29,9,210147125.0,2.0,1,0,0
5,5,Brasil,,76,2020-03-01,10,210147125.0,2.0,0,0,0
6,6,Brasil,,76,2020-03-02,10,210147125.0,2.0,0,0,0
7,7,Brasil,,76,2020-03-03,10,210147125.0,2.0,0,0,0
8,8,Brasil,,76,2020-03-04,10,210147125.0,3.0,1,0,0
9,9,Brasil,,76,2020-03-05,10,210147125.0,7.0,4,0,0
10,10,Brasil,,76,2020-03-06,10,210147125.0,13.0,6,0,0
11,11,Brasil,,76,2020-03-07,10,210147125.0,19.0,6,0,0
12,12,Brasil,,76,2020-03-08,11,210147125.0,25.0,6,0,0
13,13,Brasil,,76,2020-03-09,11,210147125.0,25.0,0,0,0
14,14,Brasil,,76,2020-03-10,11,210147125.0,34.0,9,0,0
15,15,Brasil,,76,2020-03-11,11,210147125.0,52.0,18,0,0
16,16,Brasil,,76,2020-03-12,11,210147125.0,77.0,25,0,0
17,17,Brasil,,76,2020-03-13,11,210147125.0,98.0,21,0,0
18,18,Brasil,,76,2020-03-14,11,210147125.0,121.0,23,0,0
19,19,Brasil,,76,2020-03-15,12,210147125.0,200.0,79,0,0
20,20,Brasil,,76,2020-03-16,12,210147125.0,234.0,34,0,0
21,21,Brasil,,76,2020-03-17,12,210147125.0,291.0,57,1,1
22,22,Brasil,,76,2020-03-18,12,210147125.0,428.0,137,4,3
23,23,Brasil,,76,2020-03-19,12,210147125.0,621.0,193,6,2
24,24,Brasil,,76,2020-03-20,12,210147125.0,904.0,283,11,5
25,25,Brasil,,76,2020-03-21,12,210147125.0,1128.0,224,18,7
26,26,Brasil,,76,2020-03-22,13,210147125.0,1546.0,418,25,7
27,27,Brasil,,76,2020-03-23,13,210147125.0,1891.0,345,34,9
28,28,Brasil,,76,2020-03-24,13,210147125.0,2201.0,310,46,12
29,29,Brasil,,76,2020-03-25,13,210147125.0,2433.0,232,57,11
30,30,Brasil,,76,2020-03-26,13,210147125.0,2915.0,482,77,20
31,31,Brasil,,76,2020-03-27,13,210147125.0,3417.0,502,92,15
32,32,Brasil,,76,2020-03-28,13,210147125.0,3903.0,486,114,22
33,33,Brasil,,76,2020-03-29,14,210147125.0,4256.0,353,136,22
34,34,Brasil,,76,2020-03-30,14,210147125.0,4579.0,323,159,23
