,Data,Pessoas de 14 anos ou mais,Pessoas ocupadas
82,2019.01,170193,92291
83,2019.02,170395,91880
84,2019.03,170500,91863
85,2019.04,170494,92365
86,2019.05,170615,92947
87,2019.06,170864,93342
88,2019.07,170975,93584
89,2019.08,171123,93631
90,2019.09,171158,93801
91,2019.1,171281,94055
92,2019.11,171401,94416
93,2019.12,171613,94552
94,2020.01,171798,94151
95,2020.02,171989,93710
96,2020.03,172354,92223
97,2020.04,172978,89241
98,2020.05,173610,85936
99,2020.06,173918,83347
100,2020.07,174114,82027
101,2020.08,174600,81666
102,2020.09,175121,82464
103,2020.1,175555,84301
104,2020.11,176014,85578
105,2020.12,176362,86179
106,2021.01,176674,86025
107,2021.02,176753,85899
108,2021.03,176938,85650
109,2021.04,177084,85940
110,2021.05,177306,86708
111,2021.06,177149,87791
112,2021.07,177271,89042
113,2021.08,177215,90188
